Congress,Chamber,Committee,Date,Title,FileName,Link
114th Congress (2015 - 2016),House Hearings,Committee on Education and the Workforce,6/23/16,"b'House Hearing, 114th Congress - NEXT STEPS IN K-12 EDUCATION: EXAMINING RECENT EFFORTS TO IMPLEMENT THE EVERY STUDENT SUCCEEDS ACT'",CHRG-114hhrg20458.txt,https://www.gpo.gov/fdsys/pkg/CHRG-114hhrg20458/html/CHRG-114hhrg20458.htm
114th Congress (2015 - 2016),House Hearings,Committee on Energy and Commerce,3/22/16,"b'House Hearing, 114th Congress - OVERSIGHT OF THE FEDERAL COMMUNICATIONS COMMISSION'",CHRG-114hhrg20493.txt,https://www.gpo.gov/fdsys/pkg/CHRG-114hhrg20493/html/CHRG-114hhrg20493.htm
114th Congress (2015 - 2016),House Hearings,Committee on Transportation and Infrastructure,6/15/16,"b""House Hearing, 114th Congress - A REVIEW OF THE FEDERAL AVIATION ADMINISTRATION'S AIR TRAFFIC CONTROLLER HIRING, STAFFING, AND...""",CHRG-114hhrg20499.txt,https://www.gpo.gov/fdsys/pkg/CHRG-114hhrg20499/html/CHRG-114hhrg20499.htm
114th Congress (2015 - 2016),House Hearings,Committee on Foreign Affairs,6/22/16,"b""House Hearing, 114th Congress - THE PRESIDENT'S VISIT TO VIETNAM: A MISSED OPPORTUNITY TO ADVANCE HUMAN RIGHTS""",CHRG-114hhrg20530.txt,https://www.gpo.gov/fdsys/pkg/CHRG-114hhrg20530/html/CHRG-114hhrg20530.htm
114th Congress (2015 - 2016),House Hearings,Committee on Oversight and Government Reform,4/27/16,"b'House Hearing, 114th Congress - THE BEST AND WORST PLACES TO WORK IN THE FEDERAL GOVERNMENT'",CHRG-114hhrg20557.txt,https://www.gpo.gov/fdsys/pkg/CHRG-114hhrg20557/html/CHRG-114hhrg20557.htm
114th Congress (2015 - 2016),House Hearings,Committee on Energy and Commerce,4/14/16,"b'House Hearing, 114th Congress - H.R. 4775, OZONE STANDARDS IMPLEMENTATION ACT OF 2016'",CHRG-114hhrg20589.txt,https://www.gpo.gov/fdsys/pkg/CHRG-114hhrg20589/html/CHRG-114hhrg20589.htm
114th Congress (2015 - 2016),House Hearings,Committee on the Judiciary,7/6/16,"b'House Hearing, 114th Congress - THE FEDERAL GOVERNMENT ON AUTOPILOT: MANDATORY SPENDING AND THE ENTITLEMENT CRISIS'",CHRG-114hhrg20631.txt,https://www.gpo.gov/fdsys/pkg/CHRG-114hhrg20631/html/CHRG-114hhrg20631.htm
114th Congress (2015 - 2016),House Hearings,Committee on the Judiciary,7/6/16,"b'House Hearing, 114th Congress - ASSESSING THE OBAMA YEARS: OIRA AND REGULATORY IMPACTS ON JOBS, WAGES AND ECONOMIC RECOVERY'",CHRG-114hhrg20632.txt,https://www.gpo.gov/fdsys/pkg/CHRG-114hhrg20632/html/CHRG-114hhrg20632.htm
114th Congress (2015 - 2016),House Hearings,Committee on Transportation and Infrastructure,7/7/16,"b'House Hearing, 114th Congress - AN EXAMINATION OF THE MARITIME NUCLEAR SMUGGLING THREAT AND OTHER PORT SECURITY AND SMUGGLING...'",CHRG-114hhrg20639.txt,https://www.gpo.gov/fdsys/pkg/CHRG-114hhrg20639/html/CHRG-114hhrg20639.htm
114th Congress (2015 - 2016),House Hearings,Committee on Energy and Commerce,4/19/16,"b'House Hearing, 114th Congress - MEDICARE ACCESS AND CHIP REAUTHORIZATION ACT OF 2015: EXAMINING PHYSICIAN EFFORTS TO PREPARE FOR...'",CHRG-114hhrg20640.txt,https://www.gpo.gov/fdsys/pkg/CHRG-114hhrg20640/html/CHRG-114hhrg20640.htm
114th Congress (2015 - 2016),House Hearings,Committee on Foreign Affairs,7/6/16,"b'House Hearing, 114th Congress - FINANCIALLY REWARDING TERRORISM IN THE WEST BANK'",CHRG-114hhrg20651.txt,https://www.gpo.gov/fdsys/pkg/CHRG-114hhrg20651/html/CHRG-114hhrg20651.htm
114th Congress (2015 - 2016),House Hearings,"Committee on Science, Space, and Technology",12/8/15,"b'House Hearing, 114th Congress - THE FUTURE OF BIOTECHNOLOGY: SOLUTIONS FOR ENERGY, AGRICULTURE AND MANUFACTURING'",CHRG-114hhrg20824.txt,https://www.gpo.gov/fdsys/pkg/CHRG-114hhrg20824/html/CHRG-114hhrg20824.htm
114th Congress (2015 - 2016),House Hearings,"Committee on Science, Space, and Technology",2/24/16,"b'House Hearing, 114th Congress - UNLOCKING THE SECRETS OF THE UNIVERSE: GRAVITATIONAL WAVES'",CHRG-114hhrg20831.txt,https://www.gpo.gov/fdsys/pkg/CHRG-114hhrg20831/html/CHRG-114hhrg20831.htm
114th Congress (2015 - 2016),House Hearings,Committee on Ways and Means,3/16/16,"b'House Hearing, 114th Congress - PRESERVING AND STRENGTHENING MEDICARE'",CHRG-114hhrg21305.txt,https://www.gpo.gov/fdsys/pkg/CHRG-114hhrg21305/html/CHRG-114hhrg21305.htm
114th Congress (2015 - 2016),House Hearings,Committee on Ways and Means,5/17/16,"b'House Hearing, 114th Congress - TAX-RELATED PROPOSALS TO IMPROVE HEALTH CARE'",CHRG-114hhrg21307.txt,https://www.gpo.gov/fdsys/pkg/CHRG-114hhrg21307/html/CHRG-114hhrg21307.htm
114th Congress (2015 - 2016),House Hearings,Committee on Oversight and Government Reform,5/25/16,"b""House Hearing, 114th Congress - FEDERAL AGENCIES' RELIANCE ON OUTDATED AND UNSUPPORTED INFORMATION TECHNOLOGY: A TICKING TIME BOMB""",CHRG-114hhrg23644.txt,https://www.gpo.gov/fdsys/pkg/CHRG-114hhrg23644/html/CHRG-114hhrg23644.htm
114th Congress (2015 - 2016),House Hearings,Committee on Oversight and Government Reform,7/13/16,"b'House Hearing, 114th Congress - FROM PREMIUM INCREASES TO FAILING CO-OPS: AN OBAMACARE CHECKUP'",CHRG-114hhrg23646.txt,https://www.gpo.gov/fdsys/pkg/CHRG-114hhrg23646/html/CHRG-114hhrg23646.htm
114th Congress (2015 - 2016),House Hearings,Committee on Foreign Affairs,4/13/16,"b'House Hearing, 114th Congress - PEACEKEEPERS: ALLEGATIONS OF ABUSE AND ABSENCE OF ACCOUNTABILITY AT THE UNITED NATIONS'",CHRG-114hhrg99758.txt,https://www.gpo.gov/fdsys/pkg/CHRG-114hhrg99758/html/CHRG-114hhrg99758.htm
114th Congress (2015 - 2016),House Hearings,Committee on Education and the Workforce,4/14/16,"b'House Hearing, 114th Congress - INNOVATIONS IN HEALTH CARE: EXPLORING FREE-MARKET SOLUTIONS FOR A HEALTHY WORKFORCE'",CHRG-114hhrg99776.txt,https://www.gpo.gov/fdsys/pkg/CHRG-114hhrg99776/html/CHRG-114hhrg99776.htm
114th Congress (2015 - 2016),House Hearings,Committee on Natural Resources,4/13/16,"b'House Hearing, 114th Congress - LEGISLATIVE HEARING ON DISCUSSION DRAFT, H.R., ``PUERTO RICO OVERSIGHT, MANAGEMENT, AND ECONOMIC...'",CHRG-114hhrg99800.txt,https://www.gpo.gov/fdsys/pkg/CHRG-114hhrg99800/html/CHRG-114hhrg99800.htm
114th Congress (2015 - 2016),House Hearings,Committee on Foreign Affairs,4/20/16,"b'House Hearing, 114th Congress - FRANK R. WOLF INTERNATIONAL RELIGIOUS FREEDOM ACT OF 2015; STRATEGY TO OPPOSE PREDATORY ORGAN...'",CHRG-114hhrg99851.txt,https://www.gpo.gov/fdsys/pkg/CHRG-114hhrg99851/html/CHRG-114hhrg99851.htm
114th Congress (2015 - 2016),House Hearings,Committee on Transportation and Infrastructure,4/14/16,"b'House Hearing, 114th Congress - BLACKOUT! ARE WE PREPARED TO MANAGE THE AFTERMATH OF A CYBERATTACK OR OTHER FAILURE OF THE...'",CHRG-114hhrg99931.txt,https://www.gpo.gov/fdsys/pkg/CHRG-114hhrg99931/html/CHRG-114hhrg99931.htm
114th Congress (2015 - 2016),House Hearings,Committee on Foreign Affairs,4/27/16,"b""House Hearing, 114th Congress - ADVANCING U.S. INTERESTS: EXAMINING THE PRESIDENT'S FY 2017 BUDGET PROPOSAL FOR AFGHANISTAN AND...""",CHRG-114hhrg99946.txt,https://www.gpo.gov/fdsys/pkg/CHRG-114hhrg99946/html/CHRG-114hhrg99946.htm
114th Congress (2015 - 2016),House Hearings,Committee on Foreign Affairs,4/28/16,"b'House Hearing, 114th Congress - AMERICA AS A PACIFIC POWER: CHALLENGES AND OPPORTUNITIES IN ASIA'",CHRG-114hhrg99949.txt,https://www.gpo.gov/fdsys/pkg/CHRG-114hhrg99949/html/CHRG-114hhrg99949.htm
114th Congress (2015 - 2016),House Hearings,Committee on Natural Resources,4/28/16,"b'House Hearing, 114th Congress - OVERSIGHT HEARING ON THE CONSEQUENCES OF FEDERAL LAND MANAGEMENT ALONG THE U.S. BORDER TO RURAL...'",CHRG-114hhrg99957.txt,https://www.gpo.gov/fdsys/pkg/CHRG-114hhrg99957/html/CHRG-114hhrg99957.htm
114th Congress (2015 - 2016),House Hearings,Committee on Energy and Commerce,2/3/16,"b'House Hearing, 114th Congress - H.R. 3797, THE SATISFYING ENERGY NEEDS AND SAVING THE ENVIRONMENT (SENSE) ACT; AND H.R., THE...'",CHRG-114hhrg99969.txt,https://www.gpo.gov/fdsys/pkg/CHRG-114hhrg99969/html/CHRG-114hhrg99969.htm
