Congress,Chamber,Committee,Date,Title,FileName,Link
114th Congress (2015 - 2016),House Hearings,Ad Hoc Committee on Energy,9/8/2016,"b'House Hearing, 114th Congress - EASTERN MEDITERRANEAN ENERGY: CHALLENGES AND OPPORTUNITIES FOR U.S. REGIONAL PRIORITIES'",CHRG-114hhrg21461.txt,https://www.gpo.gov/fdsys/pkg/CHRG-114hhrg21461/html/CHRG-114hhrg21461.htm
114th Congress (2015 - 2016),House Hearings,Commission on Security and Cooperation in Europe,11/5/2015,"b'House Hearing, 114th Congress - THE RULE OF LAW AND CIVIL SOCIETY IN AZERBAIJAN'",CHRG-114hhrg98259.txt,https://www.gpo.gov/fdsys/pkg/CHRG-114hhrg98259/html/CHRG-114hhrg98259.htm
114th Congress (2015 - 2016),House Hearings,Commission on Security and Cooperation in Europe,12/11/2015,"b'House Hearing, 114th Congress - HUMAN RIGHTS VIOLATIONS IN RUSSIAN-OCCUPIED CRIMEA'",CHRG-114hhrg98261.txt,https://www.gpo.gov/fdsys/pkg/CHRG-114hhrg98261/html/CHRG-114hhrg98261.htm
114th Congress (2015 - 2016),House Hearings,Commission on Security and Cooperation in Europe,6/23/2016,"b""House Hearing, 114th Congress - NATO'S WARSAW SUMMIT AND THE FUTURE OF EUROPEAN SECURITY""",CHRG-114hhrg20596.txt,https://www.gpo.gov/fdsys/pkg/CHRG-114hhrg20596/html/CHRG-114hhrg20596.htm
114th Congress (2015 - 2016),House Hearings,Commission on Security and Cooperation in Europe,12/7/2016,"b'House Hearing, 114th Congress - BALTIC SECURITY AFTER THE WARSAW NATO SUMMIT'",CHRG-114hhrg22942.txt,https://www.gpo.gov/fdsys/pkg/CHRG-114hhrg22942/html/CHRG-114hhrg22942.htm
114th Congress (2015 - 2016),House Hearings,Committee on Agriculture,2/11/2015,"b'House Hearing, 114th Congress - HEARING TO REVIEW THE STATE OF THE RURAL ECONOMY'",CHRG-114hhrg93959.txt,https://www.gpo.gov/fdsys/pkg/CHRG-114hhrg93959/html/CHRG-114hhrg93959.htm
114th Congress (2015 - 2016),House Hearings,Committee on Agriculture,2/12/2015,"b'House Hearing, 114th Congress - HEARING TO REVIEW THE 2015 AGENDA FOR THE COMMODITY FUTURES TRADING COMMISSION'",CHRG-114hhrg93960.txt,https://www.gpo.gov/fdsys/pkg/CHRG-114hhrg93960/html/CHRG-114hhrg93960.htm
114th Congress (2015 - 2016),House Hearings,Committee on Agriculture,3/17/2015,"b'House Hearing, 114th Congress - HEARING TO REVIEW THE DEFINITION OF THE WATERS OF THE UNITED STATES'",CHRG-114hhrg93963.txt,https://www.gpo.gov/fdsys/pkg/CHRG-114hhrg93963/html/CHRG-114hhrg93963.htm
114th Congress (2015 - 2016),House Hearings,Committee on Agriculture,3/18/2015,"b'House Hearing, 114th Congress - THE IMPORTANCE OF TRADE TO U.S. AGRICULTURE'",CHRG-114hhrg93964.txt,https://www.gpo.gov/fdsys/pkg/CHRG-114hhrg93964/html/CHRG-114hhrg93964.htm
114th Congress (2015 - 2016),House Hearings,Committee on Agriculture,3/24/2015,"b'House Hearing, 114th Congress - EXAMINATION OF THE COSTS AND IMPACTS OF MANDATORY BIOTECHNOLOGY LABELING LAWS'",CHRG-114hhrg93965.txt,https://www.gpo.gov/fdsys/pkg/CHRG-114hhrg93965/html/CHRG-114hhrg93965.htm
114th Congress (2015 - 2016),House Hearings,Committee on Agriculture,3/24/2015,"b'House Hearing, 114th Congress - REAUTHORIZING THE COMMODITY FUTURES TRADING COMMISSION'",CHRG-114hhrg93966.txt,https://www.gpo.gov/fdsys/pkg/CHRG-114hhrg93966/html/CHRG-114hhrg93966.htm
114th Congress (2015 - 2016),House Hearings,Committee on Agriculture,3/25/2015,"b'House Hearing, 114th Congress - HEARING TO EXAMINE THE IMPLICATIONS OF POTENTIAL RETALIATORY MEASURES TAKEN AGAINST THE UNITED...'",CHRG-114hhrg93967.txt,https://www.gpo.gov/fdsys/pkg/CHRG-114hhrg93967/html/CHRG-114hhrg93967.htm
114th Congress (2015 - 2016),House Hearings,Committee on Agriculture,3/26/2015,"b'House Hearing, 114th Congress - IMPLEMENTING THE AGRICULTURAL ACT OF 2014: COMMODITY POLICY AND CROP INSURANCE'",CHRG-114hhrg93969.txt,https://www.gpo.gov/fdsys/pkg/CHRG-114hhrg93969/html/CHRG-114hhrg93969.htm
114th Congress (2015 - 2016),House Hearings,Committee on Agriculture,4/14/2015,"b'House Hearing, 114th Congress - A PRESENTATION BY NATIONAL 4-H CONFERENCE PARTICIPANTS CONCERNING THE FUTURE OF AGRICULTURE IN...'",CHRG-114hhrg94334.txt,https://www.gpo.gov/fdsys/pkg/CHRG-114hhrg94334/html/CHRG-114hhrg94334.htm
114th Congress (2015 - 2016),House Hearings,Committee on Agriculture,4/22/2015,"b'House Hearing, 114th Congress - HEARING TO REVIEW REAUTHORIZATION OF THE LIVESTOCK MANDATORY REPORTING ACT'",CHRG-114hhrg94372.txt,https://www.gpo.gov/fdsys/pkg/CHRG-114hhrg94372/html/CHRG-114hhrg94372.htm
114th Congress (2015 - 2016),House Hearings,Committee on Agriculture,4/22/2015,"b'House Hearing, 114th Congress - HEARING TO REVIEW REAUTHORIZATION OF THE U.S. GRAIN STANDARDS ACT'",CHRG-114hhrg94371.txt,https://www.gpo.gov/fdsys/pkg/CHRG-114hhrg94371/html/CHRG-114hhrg94371.htm
114th Congress (2015 - 2016),House Hearings,Committee on Agriculture,4/29/2015,"b'House Hearing, 114th Congress - HEARING TO REVIEW THE NATIONAL FOREST SYSTEM AND ACTIVE FOREST MANAGEMENT'",CHRG-114hhrg94655.txt,https://www.gpo.gov/fdsys/pkg/CHRG-114hhrg94655/html/CHRG-114hhrg94655.htm
114th Congress (2015 - 2016),House Hearings,Committee on Agriculture,5/13/2015,"b'House Hearing, 114th Congress - HEARING TO REVIEW THE FEDERAL COORDINATION AND RESPONSE REGARDING POLLINATOR HEALTH'",CHRG-114hhrg94750.txt,https://www.gpo.gov/fdsys/pkg/CHRG-114hhrg94750/html/CHRG-114hhrg94750.htm
114th Congress (2015 - 2016),House Hearings,Committee on Agriculture,6/2/2015,"b'House Hearing, 114th Congress - UPDATE ON THE FINANCIAL HEALTH OF FARM COUNTRY'",CHRG-114hhrg95132.txt,https://www.gpo.gov/fdsys/pkg/CHRG-114hhrg95132/html/CHRG-114hhrg95132.htm
114th Congress (2015 - 2016),House Hearings,Committee on Agriculture,6/3/2015,"b'House Hearing, 114th Congress - HEARING TO REVIEW AGRICULTURAL SUBSIDIES IN FOREIGN COUNTRIES'",CHRG-114hhrg95133.txt,https://www.gpo.gov/fdsys/pkg/CHRG-114hhrg95133/html/CHRG-114hhrg95133.htm
114th Congress (2015 - 2016),House Hearings,Committee on Agriculture,6/10/2015,"b'House Hearing, 114th Congress, Part 1 - SUPPLEMENTAL NUTRITION ASSISTANCE PROGRAM'",CHRG-114hhrg93961.txt,https://www.gpo.gov/fdsys/pkg/CHRG-114hhrg93961/html/CHRG-114hhrg93961.htm
